"Kod";Nazwa;ludność w tysiącach;
1424043;"Pułtusk (3)";24,13;
1424044;"Pułtusk - miasto (4)";19,06;
1424045;"Pułtusk - obszar wiejski (5)";5,07;
1424052;"Świercze (2)";4,48;
1424062;"Winnica (2)";4,00;
1424072;"Zatory (2)";4,71;
1425000;"Powiat radomski";151,33;
1425011;"Pionki (1)";16,09;
1425022;"Gózd (2)";9,42;
1425033;"Iłża (3)";13,58;
1425034;"Iłża - miasto (4)";4,28;
1425035;"Iłża - obszar wiejski (5)";9,30;
1425042;"Jastrzębia (2)";7,13;
1425052;"Jedlińsk (2)";14,57;
1425063;"Jedlnia-Letnisko (3)";13,62;
1425064;"Jedlnia-Letnisko - miasto (4)";3,96;
1425065;"Jedlnia-Letnisko - obszar wiejski (5)";9,66;
1425072;"Kowala (2)";12,49;
1425082;"Pionki (2)";9,64;
1425092;"Przytyk (2)";7,03;
1425103;"Skaryszew (3)";15,54;
1425104;"Skaryszew - miasto (4)";4,46;
1425105;"Skaryszew - obszar wiejski (5)";11,08;
1425112;"Wierzbica (2)";9,19;
1425122;"Wolanów (2)";9,01;
1425132;"Zakrzew (2)";14,02;
1426000;"Powiat siedlecki";80,44;
1426012;"Domanice (2)";2,47;
1426022;"Korczew (2)";2,33;
1426032;"Kotuń (2)";8,13;
1426042;"Mokobody (2)";4,79;
1426053;"Mordy (3)";5,33;
1426054;"Mordy - miasto (4)";1,60;
1426055;"Mordy - obszar wiejski (5)";3,74;
1426062;"Paprotnia (2)";2,37;
1426072;"Przesmyki (2)";2,77;
1426082;"Siedlce (2)";19,66;
1426092;"Skórzec (2)";8,23;
1426102;"Suchożebry (2)";4,71;
1426112;"Wiśniew (2)";5,74;
1426122;"Wodynie (2)";4,13;
1426132;"Zbuczyn (2)";9,80;
1427000;"Powiat sierpecki";48,26;
1427011;"Sierpc (1)";16,94;
1427022;"Gozdowo (2)";5,66;
1427032;"Mochowo (2)";5,53;
1427042;"Rościszewo (2)";3,74;
1427052;"Sierpc (2)";6,58;
1427062;"Szczutowo (2)";3,98;
1427072;"Zawidz (2)";5,82;
1428000;"Powiat sochaczewski";83,17;
1428011;"Sochaczew (1)";33,46;
1428022;"Brochów (2)";4,42;
1428032;"Iłów (2)";5,86;
1428042;"Młodzieszyn (2)";5,59;
1428052;"Nowa Sucha (2)";6,85;
1428062;"Rybno (2)";3,42;
1428072;"Sochaczew (2)";11,99;
1428082;"Teresin (2)";11,58;
1429000;"Powiat sokołowski";50,06;
1429011;"Sokołów Podlaski (1)";18,36;
1429022;"Bielany (2)";3,47;
1429032;"Ceranów (2)";1,81;
1429042;"Jabłonna Lacka (2)";4,07;
1429053;"Kosów Lacki (3)";5,33;
1429054;"Kosów Lacki - miasto (4)";1,96;
1429055;"Kosów Lacki - obszar wiejski (5)";3,37;
1429062;"Repki (2)";4,61;
1429072;"Sabnie (2)";3,25;
1429082;"Sokołów Podlaski (2)";5,77;
1429092;"Sterdyń (2)";3,39;
1430000;"Powiat szydłowiecki";37,50;
1430012;"Chlewiska (2)";5,51;
1430023;"Jastrząb (3)";5,13;
1430024;"Jastrząb - miasto (4)";1,18;
1430025;"Jastrząb - obszar wiejski (5)";3,95;
1430032;"Mirów (2)";3,74;
1430042;"Orońsko (2)";5,92;
1430053;"Szydłowiec (3)";17,21;
1430054;"Szydłowiec - miasto (4)";10,56;
1430055;"Szydłowiec - obszar wiejski (5)";6,66;
1432000;"Powiat warszawski zachodni";135,22;
1432013;"Błonie (3)";22,42;
1432014;"Błonie - miasto (4)";12,17;
1432015;"Błonie - obszar wiejski (5)";10,25;
1432022;"Izabelin (2)";10,79;
1432032;"Kampinos (2)";4,47;
1432042;"Leszno (2)";11,07;
1432053;"Łomianki (3)";31,89;
1432054;"Łomianki - miasto (4)";18,23;
1432055;"Łomianki - obszar wiejski (5)";13,66;
1432063;"Ożarów Mazowiecki (3)";31,53;
1432064;"Ożarów Mazowiecki - miasto (4)";15,62;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";15,91;
1432072;"Stare Babice (2)";23,04;
1433000;"Powiat węgrowski";61,91;
1433011;"Węgrów (1)";11,84;
1433022;"Grębków (2)";4,24;
1433032;"Korytnica (2)";5,51;
1433042;"Liw (2)";7,06;
1433053;"Łochów (3)";17,26;
1433054;"Łochów - miasto (4)";6,55;
1433055;"Łochów - obszar wiejski (5)";10,72;
1433062;"Miedzna (2)";3,58;
1433072;"Sadowne (2)";5,52;
1433082;"Stoczek (2)";4,48;
1433092;"Wierzbno (2)";2,43;
1434000;"Powiat wołomiński";275,87;
1434011;"Kobyłka (1)";28,34;
1434021;"Marki (1)";45,37;
1434031;"Ząbki (1)";45,35;
1434041;"Zielonka (1)";18,14;
1434052;"Dąbrówka (2)";8,65;
1434063;"Jadów (3)";7,06;
1434064;"Jadów - miasto (4)";0,91;
1434065;"Jadów - obszar wiejski (5)";6,15;
1434072;"Klembów (2)";11,36;
1434082;"Poświętne (2)";6,49;
1434093;"Radzymin (3)";31,29;
1434094;"Radzymin - miasto (4)";14,96;
1434095;"Radzymin - obszar wiejski (5)";16,32;
1434102;"Strachówka (2)";2,59;
1434113;"Tłuszcz (3)";20,19;
1434114;"Tłuszcz - miasto (4)";8,03;
1434115;"Tłuszcz - obszar wiejski (5)";12,15;
1434123;"Wołomin (3)";51,06;
1434124;"Wołomin - miasto (4)";35,62;
1434125;"Wołomin - obszar wiejski (5)";15,44;
1435000;"Powiat wyszkowski";73,44;
1435012;"Brańszczyk (2)";8,08;
1435022;"Długosiodło (2)";7,41;
1435032;"Rząśnik (2)";6,82;
1435042;"Somianka (2)";5,61;
1435053;"Wyszków (3)";39,33;
1435054;"Wyszków - miasto (4)";26,02;
1435055;"Wyszków - obszar wiejski (5)";13,31;
1435062;"Zabrodzie (2)";6,18;
1436000;"Powiat zwoleński";34,29;
1436012;"Kazanów (2)";4,25;
1436022;"Policzna (2)";5,10;
1436032;"Przyłęk (2)";5,76;
1436042;"Tczów (2)";4,79;
1436053;"Zwoleń (3)";14,39;
1436054;"Zwoleń - miasto (4)";7,16;
1436055;"Zwoleń - obszar wiejski (5)";7,23;
1437000;"Powiat żuromiński";35,49;
1437013;"Bieżuń (3)";4,54;
1437014;"Bieżuń - miasto (4)";1,71;
1437015;"Bieżuń - obszar wiejski (5)";2,83;
1437022;"Kuczbork-Osada (2)";4,26;
1437033;"Lubowidz (3)";6,26;
1437034;"Lubowidz - miasto (4)";1,50;
1437035;"Lubowidz - obszar wiejski (5)";4,77;
1437042;"Lutocin (2)";3,96;
1437052;"Siemiątkowo (2)";3,17;
1437063;"Żuromin (3)";13,30;
1437064;"Żuromin - miasto (4)";8,44;
1437065;"Żuromin - obszar wiejski (5)";4,86;
1438000;"Powiat żyrardowski";75,15;
1438011;"Żyrardów (1)";38,59;
1438023;"Mszczonów (3)";11,31;
1438024;"Mszczonów - miasto (4)";6,09;
1438025;"Mszczonów - obszar wiejski (5)";5,22;
1438032;"Puszcza Mariańska (2)";8,83;
1438042;"Radziejowice (2)";6,46;
1438053;"Wiskitki (3)";9,96;
1438054;"Wiskitki - miasto (4)";1,44;
1438055;"Wiskitki - obszar wiejski (5)";8,52;
1461000;"Powiat m. Ostrołęka";48,23;
1461011;"Ostrołęka (1)";48,23;
1462000;"Powiat m. Płock";111,19;
1462011;"Płock (1)";111,19;
1463000;"Powiat m. Radom";196,01;
1463011;"Radom (1)";196,01;
1464000;"Powiat m. Siedlce";75,30;
1464011;"Siedlce (1)";75,30;
1465000;"Powiat m. st. Warszawa";1861,60;
1465011;"M.st.Warszawa od 2002 (1)";1861,60;
1465028;"Bemowo - dzielnica (8)";129,19;
1465038;"Białołęka - dzielnica (8)";158,75;
1465048;"Bielany - dzielnica (8)";131,42;
1465058;"Mokotów - dzielnica (8)";225,52;
1465068;"Ochota - dzielnica (8)";79,36;
1465078;"Praga-Południe - dzielnica (8)";185,81;
1465088;"Praga-Północ - dzielnica (8)";59,63;
1465098;"Rembertów - dzielnica (8)";24,82;
1465108;"Śródmieście - dzielnica (8)";97,98;
1465118;"Targówek - dzielnica (8)";123,07;
1465128;"Ursus - dzielnica (8)";69,57;
1465138;"Ursynów - dzielnica (8)";149,78;
1465148;"Wawer - dzielnica (8)";88,51;
1465158;"Wesoła - dzielnica (8)";26,63;
1465168;"Wilanów - dzielnica (8)";52,47;
1465178;"Włochy - dzielnica (8)";50,14;
1465188;"Wola - dzielnica (8)";150,32;
1465198;"Żoliborz - dzielnica (8)";58,63;
1600000;"OPOLSKIE";936,73;
1601000;"Powiat brzeski";86,15;
1601011;"Brzeg (1)";33,40;
1601022;"Skarbimierz (2)";8,73;
1601033;"Grodków (3)";17,93;
1601034;"Grodków - miasto (4)";7,90;
1601035;"Grodków - obszar wiejski (5)";10,03;
1601043;"Lewin Brzeski (3)";12,43;
1601044;"Lewin Brzeski - miasto (4)";5,59;
1601045;"Lewin Brzeski - obszar wiejski (5)";6,84;
1601052;"Lubsza (2)";8,94;
1601062;"Olszanka (2)";4,73;
1602000;"Powiat głubczycki";42,61;
1602013;"Baborów (3)";5,67;
1602014;"Baborów - miasto (4)";2,82;
1602015;"Baborów - obszar wiejski (5)";2,85;
1602022;"Branice (2)";6,19;
1602033;"Głubczyce (3)";20,85;
1602034;"Głubczyce - miasto (4)";11,65;
1602035;"Głubczyce - obszar wiejski (5)";9,20;
1602043;"Kietrz (3)";9,90;
1602044;"Kietrz - miasto (4)";5,45;
1602045;"Kietrz - obszar wiejski (5)";4,45;
1603000;"Powiat kędzierzyńsko-kozielski";86,16;
1603011;"Kędzierzyn-Koźle (1)";54,39;
1603022;"Bierawa (2)";7,54;
1603032;"Cisek (2)";5,33;
1603042;"Pawłowiczki (2)";7,02;
1603052;"Polska Cerekiew (2)";3,75;
1603062;"Reńska Wieś (2)";8,14;
1604000;"Powiat kluczborski";61,24;
1604013;"Byczyna (3)";8,58;
1604014;"Byczyna - miasto (4)";3,35;
1604015;"Byczyna - obszar wiejski (5)";5,22;
1604023;"Kluczbork (3)";34,12;
1604024;"Kluczbork - miasto (4)";22,03;
1604025;"Kluczbork - obszar wiejski (5)";12,09;
1604032;"Lasowice Wielkie (2)";6,35;
1604043;"Wołczyn (3)";12,19;
1604044;"Wołczyn - miasto (4)";5,32;
1604045;"Wołczyn - obszar wiejski (5)";6,87;
1605000;"Powiat krapkowicki";59,65;
1605013;"Gogolin (3)";11,66;
1605014;"Gogolin - miasto (4)";6,42;
1605015;"Gogolin - obszar wiejski (5)";5,24;
1605023;"Krapkowice (3)";21,52;
1605024;"Krapkowice - miasto (4)";15,28;
1605025;"Krapkowice - obszar wiejski (5)";6,24;
1605032;"Strzeleczki (2)";7,22;
1605042;"Walce (2)";5,15;
1605053;"Zdzieszowice (3)";14,10;
1605054;"Zdzieszowice - miasto (4)";10,16;
1605055;"Zdzieszowice - obszar wiejski (5)";3,94;
1606000;"Powiat namysłowski";42,03;
1606012;"Domaszowice (2)";3,47;
1606023;"Namysłów (3)";26,30;
1606024;"Namysłów - miasto (4)";16,82;
1606025;"Namysłów - obszar wiejski (5)";9,48;
1606032;"Pokój (2)";5,02;
1606042;"Świerczów (2)";3,06;
1606052;"Wilków (2)";4,18;
1607000;"Powiat nyski";127,99;
1607013;"Głuchołazy (3)";22,29;
1607014;"Głuchołazy - miasto (4)";12,62;
1607015;"Głuchołazy - obszar wiejski (5)";9,67;
1607022;"Kamiennik (2)";3,14;
1607033;"Korfantów (3)";8,36;
1607034;"Korfantów - miasto (4)";1,69;
1607035;"Korfantów - obszar wiejski (5)";6,68;
1607042;"Łambinowice (2)";7,16;
1607053;"Nysa (3)";53,74;
1607054;"Nysa - miasto (4)";40,69;
1607055;"Nysa - obszar wiejski (5)";13,05;
1607063;"Otmuchów (3)";12,73;
1607064;"Otmuchów - miasto (4)";6,18;
1607065;"Otmuchów - obszar wiejski (5)";6,56;
1607073;"Paczków (3)";11,41;
1607074;"Paczków - miasto (4)";6,61;
1607075;"Paczków - obszar wiejski (5)";4,80;
1607082;"Pakosławice (2)";3,29;
1607092;"Skoroszyce (2)";5,87;
1608000;"Powiat oleski";61,28;
1608013;"Dobrodzień (3)";9,14;
1608014;"Dobrodzień - miasto (4)";3,45;
1608015;"Dobrodzień - obszar wiejski (5)";5,70;
1608023;"Gorzów Śląski (3)";6,92;
1608024;"Gorzów Śląski - miasto (4)";2,42;
1608025;"Gorzów Śląski - obszar wiejski (5)";4,50;
1608033;"Olesno (3)";17,21;
1608034;"Olesno - miasto (4)";9,05;
1608035;"Olesno - obszar wiejski (5)";8,17;
1608043;"Praszka (3)";12,86;
1608044;"Praszka - miasto (4)";7,11;
1608045;"Praszka - obszar wiejski (5)";5,75;
1608052;"Radłów (2)";4,05;
1608062;"Rudniki (2)";7,65;
1608072;"Zębowice (2)";3,44;
1609000;"Powiat opolski";120,84;
1609012;"Chrząstowice (2)";7,16;
1609022;"Dąbrowa (2)";8,20;
1609032;"Dobrzeń Wielki (2)";9,12;
1609042;"Komprachcice (2)";9,36;
1609052;"Łubniany (2)";10,11;
1609062;"Murów (2)";5,03;
1609073;"Niemodlin (3)";12,56;
1609074;"Niemodlin - miasto (4)";5,85;
1609075;"Niemodlin - obszar wiejski (5)";6,70;
1609083;"Ozimek (3)";18,49;
1609084;"Ozimek - miasto (4)";7,96;
1609085;"Ozimek - obszar wiejski (5)";10,52;
1609092;"Popielów (2)";7,63;
1609103;"Prószków (3)";8,95;
1609104;"Prószków - miasto (4)";2,55;
1609105;"Prószków - obszar wiejski (5)";6,40;
1609112;"Tarnów Opolski (2)";9,40;
1609123;"Tułowice (3)";4,92;
1609124;"Tułowice - miasto (4)";3,62;
1609125;"Tułowice - obszar wiejski (5)";1,29;
1609132;"Turawa (2)";9,93;
1610000;"Powiat prudnicki";51,44;
1610013;"Biała (3)";9,85;
1610014;"Biała - miasto (4)";2,26;
1610015;"Biała - obszar wiejski (5)";7,60;
1610023;"Głogówek (3)";12,57;
1610024;"Głogówek - miasto (4)";5,45;
1610025;"Głogówek - obszar wiejski (5)";7,13;
1610032;"Lubrza (2)";4,15;
1610043;"Prudnik (3)";24,86;
1610044;"Prudnik - miasto (4)";18,97;
1610045;"Prudnik - obszar wiejski (5)";5,89;
1611000;"Powiat strzelecki";71,26;
1611012;"Izbicko (2)";5,28;
1611022;"Jemielnica (2)";7,04;
1611033;"Kolonowskie (3)";5,71;
1611034;"Kolonowskie - miasto (4)";3,21;
1611035;"Kolonowskie - obszar wiejski (5)";2,50;
1611043;"Leśnica (3)";7,39;
1611044;"Leśnica - miasto (4)";2,55;
1611045;"Leśnica - obszar wiejski (5)";4,85;
1611053;"Strzelce Opolskie (3)";29,02;
1611054;"Strzelce Opolskie - miasto (4)";16,98;
1611055;"Strzelce Opolskie - obszar wiejski (5)";12,04;
1611063;"Ujazd (3)";6,37;
1611064;"Ujazd - miasto (4)";1,82;
1611065;"Ujazd - obszar wiejski (5)";4,55;
1611073;"Zawadzkie (3)";10,45;
1611074;"Zawadzkie - miasto (4)";6,36;
1611075;"Zawadzkie - obszar wiejski (5)";4,09;
1661000;"Powiat m. Opole";126,08;
1661011;"Opole (1)";126,08;
1800000;"PODKARPACKIE";2071,68;
1801000;"Powiat bieszczadzki";20,60;
1801032;"Czarna (2)";2,35;
1801052;"Lutowiska (2)";1,96;
1801083;"Ustrzyki Dolne (3)";16,29;
1801084;"Ustrzyki Dolne - miasto (4)";8,41;
1801085;"Ustrzyki Dolne - obszar wiejski (5)";7,88;
1802000;"Powiat brzozowski";63,20;
1802013;"Brzozów (3)";25,88;
1802014;"Brzozów - miasto (4)";7,16;
1802015;"Brzozów - obszar wiejski (5)";18,72;
1802022;"Domaradz (2)";5,79;
1802032;"Dydnia (2)";7,52;
1802042;"Haczów (2)";8,97;
1802052;"Jasienica Rosielna (2)";7,55;
1802062;"Nozdrzec (2)";7,50;
1803000;"Powiat dębicki";132,62;
1803011;"Dębica (1)";42,99;
1803023;"Brzostek (3)";12,67;
1803024;"Brzostek - miasto (4)";2,69;
1803025;"Brzostek - obszar wiejski (5)";9,98;
1803032;"Czarna (2)";13,34;
1803042;"Dębica (2)";25,69;
1803052;"Jodłowa (2)";5,24;
1803063;"Pilzno (3)";18,25;
1803064;"Pilzno - miasto (4)";4,99;
1803065;"Pilzno - obszar wiejski (5)";13,25;
1803072;"Żyraków (2)";14,45;
1804000;"Powiat jarosławski";115,87;
1804011;"Jarosław (1)";35,30;
1804021;"Radymno (1)";4,94;
1804032;"Chłopice (2)";5,27;
1804042;"Jarosław (2)";13,13;
1804052;"Laszki (2)";6,57;
1804062;"Pawłosiów (2)";8,41;
1804073;"Pruchnik (3)";9,26;
1804074;"Pruchnik - miasto (4)";3,63;
1804075;"Pruchnik - obszar wiejski (5)";5,64;
1804082;"Radymno (2)";10,91;
1804092;"Rokietnica (2)";4,14;
1804102;"Roźwienica (2)";6,15;
1804112;"Wiązownica (2)";11,80;
1805000;"Powiat jasielski";108,82;
1805011;"Jasło (1)";32,73;
1805022;"Brzyska (2)";6,34;
1805032;"Dębowiec (2)";8,77;
1805042;"Jasło (2)";15,93;
1805053;"Kołaczyce (3)";8,59;
1805054;"Kołaczyce - miasto (4)";1,36;
1805055;"Kołaczyce - obszar wiejski (5)";7,23;
1805062;"Krempna (2)";1,70;
1805072;"Nowy Żmigród (2)";8,63;
1805082;"Osiek Jasielski (2)";5,16;
1805092;"Skołyszyn (2)";11,97;
1805112;"Tarnowiec (2)";9,00;
1806000;"Powiat kolbuszowski";61,16;
1806012;"Cmolas (2)";8,00;
1806023;"Kolbuszowa (3)";24,21;
1806024;"Kolbuszowa - miasto (4)";8,50;
1806025;"Kolbuszowa - obszar wiejski (5)";15,71;
1806032;"Majdan Królewski (2)";9,58;
1806042;"Niwiska (2)";6,20;
1806052;"Raniżów (2)";6,92;
1806062;"Dzikowiec (2)";6,26;
1807000;"Powiat krośnieński";108,66;
1807012;"Chorkówka (2)";13,47;
1807023;"Dukla (3)";13,85;
1807024;"Dukla - miasto (4)";1,97;
1807025;"Dukla - obszar wiejski (5)";11,88;
1807033;"Iwonicz-Zdrój (3)";10,22;
1807034;"Iwonicz-Zdrój - miasto (4)";1,54;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";8,68;
1807043;"Jedlicze (3)";14,91;
1807044;"Jedlicze - miasto (4)";5,53;
1807045;"Jedlicze - obszar wiejski (5)";9,38;
1807052;"Korczyna (2)";11,10;
1807062;"Krościenko Wyżne (2)";5,35;
1807072;"Miejsce Piastowe (2)";13,30;
1807083;"Rymanów (3)";15,20;
1807084;"Rymanów - miasto (4)";3,55;
1807085;"Rymanów - obszar wiejski (5)";11,66;
1807092;"Wojaszówka (2)";9,19;
1807102;"Jaśliska (2)";2,07;
1808000;"Powiat leżajski";66,70;
1808011;"Leżajsk (1)";12,70;
1808022;"Grodzisko Dolne (2)";7,72;
1808032;"Kuryłówka (2)";5,52;
1808042;"Leżajsk (2)";19,83;
1808053;"Nowa Sarzyna (3)";20,93;
1808054;"Nowa Sarzyna - miasto (4)";5,36;
1808055;"Nowa Sarzyna - obszar wiejski (5)";15,58;
1809000;"Powiat lubaczowski";52,57;
1809011;"Lubaczów (1)";11,31;
1809023;"Cieszanów (3)";6,74;
1809024;"Cieszanów - miasto (4)";1,82;
1809025;"Cieszanów - obszar wiejski (5)";4,92;
1809032;"Horyniec-Zdrój (2)";4,33;
1809042;"Lubaczów (2)";8,93;
1809053;"Narol (3)";7,53;
1809054;"Narol - miasto (4)";1,98;
1809055;"Narol - obszar wiejski (5)";5,55;
1809063;"Oleszyce (3)";6,08;
1809064;"Oleszyce - miasto (4)";2,82;
1809065;"Oleszyce - obszar wiejski (5)";3,27;
1809072;"Stary Dzików (2)";3,99;
1809082;"Wielkie Oczy (2)";3,65;
1810000;"Powiat łańcucki";80,84;
1810011;"Łańcut (1)";17,70;
1810022;"Białobrzegi (2)";8,69;
1810032;"Czarna (2)";12,11;
1810042;"Łańcut (2)";21,77;
1810052;"Markowa (2)";6,35;
1810062;"Rakszawa (2)";7,24;
1810072;"Żołynia (2)";6,99;
1811000;"Powiat mielecki";132,98;
1811011;"Mielec (1)";56,97;
1811022;"Borowa (2)";5,26;
1811032;"Czermin (2)";7,06;
1811042;"Gawłuszowice (2)";2,74;
1811052;"Mielec (2)";13,65;
1811062;"Padew Narodowa (2)";5,13;
1811073;"Przecław (3)";12,01;
1811074;"Przecław - miasto (4)";1,82;
1811075;"Przecław - obszar wiejski (5)";10,19;
1811083;"Radomyśl Wielki (3)";14,24;
1811084;"Radomyśl Wielki - miasto (4)";3,41;
1811085;"Radomyśl Wielki - obszar wiejski (5)";10,83;
1811092;"Tuszów Narodowy (2)";8,30;
1811102;"Wadowice Górne (2)";7,63;
1812000;"Powiat niżański";63,73;
1812012;"Harasiuki (2)";5,73;
1812022;"Jarocin (2)";5,06;
1812032;"Jeżowe (2)";9,91;
1812042;"Krzeszów (2)";4,10;
1812053;"Nisko (3)";21,25;
1812054;"Nisko - miasto (4)";14,48;
1812055;"Nisko - obszar wiejski (5)";6,78;
1812063;"Rudnik nad Sanem (3)";9,83;
1812064;"Rudnik nad Sanem - miasto (4)";6,38;
1812065;"Rudnik nad Sanem - obszar wiejski (5)";3,45;
1812073;"Ulanów (3)";7,86;
1812074;"Ulanów - miasto (4)";1,37;
1812075;"Ulanów - obszar wiejski (5)";6,50;
1813000;"Powiat przemyski";71,13;
1813012;"Bircza (2)";5,91;
1813023;"Dubiecko (3)";8,78;
1813024;"Dubiecko - miasto (4)";0,80;
1813025;"Dubiecko - obszar wiejski (5)";7,98;
1813032;"Fredropol (2)";5,19;
1813042;"Krasiczyn (2)";5,12;
1813052;"Krzywcza (2)";4,50;
1813062;"Medyka (2)";6,25;
1813072;"Orły (2)";8,50;
1813082;"Przemyśl (2)";10,69;
1813092;"Stubno (2)";3,67;
1813102;"Żurawica (2)";12,54;
1814000;"Powiat przeworski";75,74;
1814011;"Przeworsk (1)";14,52;
1814022;"Adamówka (2)";4,01;
1814032;"Gać (2)";4,51;
1814042;"Jawornik Polski (2)";4,21;
1814053;"Kańczuga (3)";11,67;
1814054;"Kańczuga - miasto (4)";2,90;
1814055;"Kańczuga - obszar wiejski (5)";8,77;
1814062;"Przeworsk (2)";14,62;
1814073;"Sieniawa (3)";6,74;
1814074;"Sieniawa - miasto (4)";2,01;
1814075;"Sieniawa - obszar wiejski (5)";4,74;
1814082;"Tryńcza (2)";8,52;
1814092;"Zarzecze (2)";6,94;
1815000;"Powiat ropczycko-sędziszowski";74,03;
1815012;"Iwierzyce (2)";7,79;
1815022;"Ostrów (2)";7,49;
1815033;"Ropczyce (3)";27,19;
1815034;"Ropczyce - miasto (4)";15,79;
1815035;"Ropczyce - obszar wiejski (5)";11,40;
1815043;"Sędziszów Małopolski (3)";23,81;
1815044;"Sędziszów Małopolski - miasto (4)";12,37;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";11,44;
1815052;"Wielopole Skrzyńskie (2)";7,74;
1816000;"Powiat rzeszowski";175,78;
1816011;"Dynów (1)";6,00;
1816023;"Błażowa (3)";10,82;
1816024;"Błażowa - miasto (4)";2,10;
1816025;"Błażowa - obszar wiejski (5)";8,72;
1816033;"Boguchwała (3)";22,04;
1816034;"Boguchwała - miasto (4)";6,29;
1816035;"Boguchwała - obszar wiejski (5)";15,75;
1816042;"Chmielnik (2)";7,39;
1816052;"Dynów (2)";6,61;
1816063;"Głogów Małopolski (3)";19,72;
1816064;"Głogów Małopolski - miasto (4)";10,58;
1816065;"Głogów Małopolski - obszar wiejski (5)";9,14;
1816072;"Hyżne (2)";6,98;
1816082;"Kamień (2)";6,83;
1816092;"Krasne (2)";13,01;
1816102;"Lubenia (2)";6,56;
1816113;"Sokołów Małopolski (3)";17,33;
1816114;"Sokołów Małopolski - miasto (4)";4,35;
1816115;"Sokołów Małopolski - obszar wiejski (5)";12,99;
1816122;"Świlcza (2)";16,73;
1816132;"Trzebownisko (2)";24,25;
1816143;"Tyczyn (3)";11,52;
1816144;"Tyczyn - miasto (4)";4,56;
1816145;"Tyczyn - obszar wiejski (5)";6,96;
1817000;"Powiat sanocki";89,74;
1817011;"Sanok (1)";34,35;
1817022;"Besko (2)";4,37;
1817032;"Bukowsko (2)";5,29;
1817042;"Komańcza (2)";4,12;
1817052;"Sanok (2)";18,13;
1817062;"Tyrawa Wołoska (2)";1,92;
1817073;"Zagórz (3)";12,65;
1817074;"Zagórz - miasto (4)";4,91;
1817075;"Zagórz - obszar wiejski (5)";7,74;
1817082;"Zarszyn (2)";8,92;
1818000;"Powiat stalowowolski";100,89;
1818011;"Stalowa Wola (1)";55,13;
1818022;"Bojanów (2)";7,60;
1818032;"Pysznica (2)";11,93;
1818042;"Radomyśl nad Sanem (2)";7,23;
1818053;"Zaklików (3)";8,01;
1818054;"Zaklików - miasto (4)";2,78;
1818055;"Zaklików - obszar wiejski (5)";5,23;
1818062;"Zaleszany (2)";10,98;
1819000;"Powiat strzyżowski";59,20;
1819012;"Czudec (2)";11,58;
1819022;"Frysztak (2)";10,06;
1819032;"Niebylec (2)";10,25;
1819043;"Strzyżów (3)";19,75;
1819044;"Strzyżów - miasto (4)";8,40;
1819045;"Strzyżów - obszar wiejski (5)";11,35;
1819052;"Wiśniowa (2)";7,57;
1820000;"Powiat tarnobrzeski";50,94;
1820013;"Baranów Sandomierski (3)";11,31;
1820014;"Baranów Sandomierski - miasto (4)";1,40;
1820015;"Baranów Sandomierski - obszar wiejski (5)";9,91;
1820022;"Gorzyce (2)";12,64;
1820032;"Grębów (2)";9,95;
1820043;"Nowa Dęba (3)";17,04;
1820044;"Nowa Dęba - miasto (4)";10,38;
1820045;"Nowa Dęba - obszar wiejski (5)";6,66;
1821000;"Powiat leski";25,40;
1821012;"Baligród (2)";3,04;
1821022;"Cisna (2)";1,69;
1821033;"Lesko (3)";10,81;
1821034;"Lesko - miasto (4)";5,10;
1821035;"Lesko - obszar wiejski (5)";5,71;
1821042;"Olszanica (2)";4,66;
1821052;"Solina (2)";5,20;
1861000;"Powiat m. Krosno";44,06;
1861011;"Krosno (1)";44,06;
1862000;"Powiat m. Przemyśl";56,05;
1862011;"Przemyśl (1)";56,05;
1863000;"Powiat m. Rzeszów";197,27;
1863011;"Rzeszów (1)";197,27;
1864000;"Powiat m. Tarnobrzeg";43,71;
1864011;"Tarnobrzeg (1)";43,71;
2000000;"PODLASKIE";1138,22;
2001000;"Powiat augustowski";54,45;
2001011;"Augustów (1)";29,00;
2001022;"Augustów (2)";6,41;
2001032;"Bargłów Kościelny (2)";5,00;
2001043;"Lipsk (3)";4,37;
2001044;"Lipsk - miasto (4)";2,05;
2001045;"Lipsk - obszar wiejski (5)";2,32;
2001052;"Nowinka (2)";2,88;
2001062;"Płaska (2)";2,28;
2001072;"Sztabin (2)";4,51;
2002000;"Powiat białostocki";157,90;
2002013;"Choroszcz (3)";18,08;
2002014;"Choroszcz - miasto (4)";6,09;
2002015;"Choroszcz - obszar wiejski (5)";11,99;
2002023;"Czarna Białostocka (3)";10,64;
2002024;"Czarna Białostocka - miasto (4)";8,58;
2002025;"Czarna Białostocka - obszar wiejski (5)";2,06;
2002032;"Dobrzyniewo Duże (2)";10,38;
2002042;"Gródek (2)";4,86;
2002052;"Juchnowiec Kościelny (2)";18,51;
2002063;"Łapy (3)";20,29;
2002064;"Łapy - miasto (4)";14,44;
2002065;"Łapy - obszar wiejski (5)";5,85;
2002073;"Michałowo (3)";5,86;
2002074;"Michałowo - miasto (4)";2,75;
2002075;"Michałowo - obszar wiejski (5)";3,11;
2002082;"Poświętne (2)";3,07;
2002093;"Supraśl (3)";18,16;
2002094;"Supraśl - miasto (4)";4,33;
2002095;"Supraśl - obszar wiejski (5)";13,82;
